"","STRING","MEANING","AGE","bin"
"1","daddy","father",1.51494494949495,"(1,2]"
"2","bye","so long",1.78772982428451,"(1,2]"
"3","ball","round toy",2.03965444476735,"(2,3]"
"4","dog","four-legged animal",2.05844677386731,"(2,3]"
"5","no","not at all",1.50568164486434,"(1,2]"
"6","baby","new-born child",2.18955381673882,"(2,3]"
"7","kitty","cats' pet name",1.79581447675132,"(1,2]"
"8","book","many printed pages",2.34182682833432,"(2,3]"
"9","bottle","hold in",2.70925023823137,"(2,3]"
"10","hot","very warm",2.25586020854637,"(2,3]"
"11","shoe","foot covering",2.09211779969786,"(2,3]"
"12","balloon","air-filled ball",2.27221888449715,"(2,3]"
"13","bird","flying creature",2.5185598478888,"(2,3]"
"14","juice","liquid from fruit",2.70766132435691,"(2,3]"
"15","eye","hole in a needle",2.84331053140097,"(2,3]"
"16","cookie","small sweet cake",2.21284607237423,"(2,3]"
"17","nose","the smeller",3.17981288303297,"(3,4]"
"18","banana","yellow-skinned fruit",2.29661857487923,"(2,3]"
"19","duck","to dodge",2.23952467614407,"(2,3]"
"20","bath","wash",2.2681832717803,"(2,3]"
"21","car","part of train",2.30244336369649,"(2,3]"
"22","up","has risen",2.23832360460908,"(2,3]"
"23","keys","piano, typewriter controls",2.8369188397682,"(2,3]"
"24","cracker","a thin biscuit",3.15163316582915,"(3,4]"
"25","down","toward the ground",2.46644243028978,"(2,3]"
"26","apple","a fruit",2.34669393939394,"(2,3]"
"27","ear","what you hear with",2.85163333333333,"(2,3]"
"28","grandma","parent's mother",1.99833333333333,"(1,2]"
"29","cheese","food made from milk",3.14661736111111,"(3,4]"
"30","sock","hit hard",2.24599416127292,"(2,3]"
"31","grandpa","parent's father",2.25222222222222,"(2,3]"
"32","hat","a head covering",2.29336135735588,"(2,3]"
"33","cat","lion, tiger, etc.",2.16659288960171,"(2,3]"
"34","truck","car for moving loads",2.93649812242798,"(2,3]"
"35","boat","a vehicle",2.9236435125448,"(2,3]"
"36","yes","an answer that agrees",2.01325197561166,"(2,3]"
"37","bear","big, shaggy animal",3.21401392249104,"(3,4]"
"38","milk","a liquid food",2.55809026442307,"(2,3]"
"39","flower","colored blossom",2.23069150783194,"(2,3]"
"40","cup","a measure",2.33519636456733,"(2,3]"
"41","airplane","flying machine",2.47190672153635,"(2,3]"
"42","mouth","part of face",2.55437908496732,"(2,3]"
"43","spoon","an eating tool",2.23162299130322,"(2,3]"
"44","outside","outdoors",3.06001049313358,"(3,4]"
"45","eat","to bother, trouble",2.22419163388325,"(2,3]"
"46","foot","the bottom end of a bed",2.59327701064003,"(2,3]"
"47","more","in a bigger amount",2.8187224951267,"(2,3]"
"48","horse","a work animal",2.47376304317056,"(2,3]"
"49","hair","growth on head",3.18920104565773,"(3,4]"
"50","cow","milk-giving animal",2.33824688172043,"(2,3]"
"51","toe","front of shoe",2.48709726621418,"(2,3]"
"52","please","may I ...",1.5534188034188,"(1,2]"
"53","tooth","what you bite with",2.63924447487113,"(2,3]"
"54","mine","underground diggings",2.60474133152001,"(2,3]"
"55","bug","insect",3.18675583333333,"(3,4]"
"56","bunny","a rabbit",3.03255208333333,"(3,4]"
"57","go","to run",2.46521482526882,"(2,3]"
"58","hand","cards held by a player",2.1528786698079,"(2,3]"
"59","bite","sink teeth in",2.84576509856631,"(2,3]"
"60","tv","pictures by radio waves",1.57134703196347,"(1,2]"
"61","bicycle","a two-wheeler",2.91591954022988,"(2,3]"
"62","cold","low in temperature",2.62693095760234,"(2,3]"
"63","tree","the largest plants",2.36932621609799,"(2,3]"
"64","door","opening into building",2.38954152046784,"(2,3]"
"65","pig","a hog",2.53941605825959,"(2,3]"
"66","sit","take a seat",2.49036606698207,"(2,3]"
"67","chair","seat for one person",2.415975,"(2,3]"
"68","blanket","to cover",2.75433484848485,"(2,3]"
"69","dirty","not decent",3.28798909090909,"(3,4]"
"70","puppy","a young dog",2.49885808080808,"(2,3]"
"71","toy","a plaything",2.31343333333333,"(2,3]"
"72","light","what you see by",3.13259932466108,"(3,4]"
"73","bed","sleeping place",2.15128539656282,"(2,3]"
"74","bee","honey-making insect",3.43870889510779,"(3,4]"
"75","tummy","stomach",2.53133071008593,"(2,3]"
"76","telephone","sends talk by wire",3.25770407407407,"(3,4]"
"77","doll","girl's plaything",2.60268298611111,"(2,3]"
"78","rain","falling water",2.80206130952381,"(2,3]"
"79","block","distance between streets",3.28260940438871,"(3,4]"
"80","button","round clothes fastener",3.15952753172753,"(3,4]"
"81","toothbrush","used for cleaning teeth",2.98799741602067,"(2,3]"
"82","train","railway cars",3.08966950596991,"(3,4]"
"83","out","not burning",2.8415498701484,"(2,3]"
"84","clock","tells time",2.67154513888889,"(2,3]"
"85","off","won't be held",2.72917182291667,"(2,3]"
"86","soap","stuff used for washing",2.77373229166667,"(2,3]"
"87","pool","a little pond",3.22603362995921,"(3,4]"
"88","boy","very young man",3.12138868464052,"(3,4]"
"89","me","I",2.06982930107527,"(2,3]"
"90","moon","the earth satellite",2.7289828355237,"(2,3]"
"91","fork","an eating tool",2.55803993055556,"(2,3]"
"92","kiss","touch lips",2.69548584229391,"(2,3]"
"93","rock","a stone",2.83126987179487,"(2,3]"
"94","arm","part of body",2.80017634310134,"(2,3]"
"95","buttocks","the rump",4.70798534798535,"(4,5]"
"96","shirt","clothing",3.53174357298475,"(3,4]"
"97","egg","laid by hen",2.80431153846154,"(2,3]"
"98","hello","how are you?",1.84614941724942,"(1,2]"
"99","see","to have power of sight",2.62555299107143,"(2,3]"
"100","coat","an animal's fur",3.80572924648787,"(3,4]"
"101","frenchfries","potatoes fried in deep fat",1.70833333333333,"(1,2]"
"102","hug","squeeze in arms",2.61475110960145,"(2,3]"
"103","big","large",2.27820040509259,"(2,3]"
"104","head","from neck up",3.22834355909422,"(3,4]"
"105","bib","baby's napkin",3.11216306515958,"(3,4]"
"106","mouse","small animal",2.87820255496138,"(2,3]"
"107","pants","trousers",3.86514266513057,"(3,4]"
"108","nap","short sleep",2.34814186652132,"(2,3]"
"109","wet","not dry",2.37016429227941,"(2,3]"
"110","bowl","deep dish",3.21434881569069,"(3,4]"
"111","finger","part of hand",2.40409250076523,"(2,3]"
"112","broom","thing to sweep with",4.88091523011983,"(4,5]"
